search_string,room_name,day,start,end,subject,AV
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Thursday,12:00,13:00,ABPL10005,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Thursday,12:00,13:00,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Thursday,12:00,13:00,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Thursday,13:15,14:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Thursday,13:15,14:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Thursday,13:15,14:15,ABPL10005,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Thursday,14:15,15:15,ABPL10005,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Thursday,14:15,15:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Thursday,14:15,15:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Thursday,15:15,16:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Thursday,15:15,16:15,ABPL10005,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Thursday,15:15,16:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Thursday,17:15,18:15,ABPL10005,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Thursday,18:15,19:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Friday,16:15,17:15,ABPL10005,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Friday,17:15,18:15,ABPL10005,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Friday,18:15,19:15,ABPL10005,True
Alan Gilbert,PAR-Alan Gilbert-G20,Wednesday,14:15,15:15,ABPL20004,True
Alan Gilbert,PAR-Alan Gilbert-G20,Wednesday,15:15,16:15,ABPL20004,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Wednesday,09:00,12:00,ABPL20027,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Wednesday,11:00,12:00,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-215,Wednesday,11:00,12:00,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-216,Wednesday,11:00,12:00,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Wednesday,11:00,12:00,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Wednesday,12:00,13:00,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Wednesday,13:00,14:00,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Wednesday,16:15,17:15,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-138,Wednesday,17:15,18:15,ABPL20030,False
Old Arts,PAR-Old Arts-152,Wednesday,18:15,19:15,ABPL20030,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-213,Wednesday,10:00,11:00,ABPL20034,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-213,Wednesday,11:00,12:00,ABPL20034,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Wednesday,12:00,13:00,ABPL20034,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-226,Wednesday,09:00,10:30,ABPL20035,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Wednesday,11:00,12:30,ABPL20035,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-449,Wednesday,12:00,13:30,ABPL20035,True
Redmond Barry,PAR-Redmond Barry-1007,Wednesday,14:15,15:45,ABPL20035,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Wednesday,14:15,15:45,ABPL20035,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Thursday,09:00,10:30,ABPL20035,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-142,Thursday,10:30,12:00,ABPL20035,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-239,Thursday,12:00,13:30,ABPL20035,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-449,Thursday,15:15,16:45,ABPL20035,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Thursday,15:15,16:45,ABPL20035,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-137,Friday,12:00,13:30,ABPL20035,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Wednesday,14:15,15:45,ABPL20037,True
David Caro,PAR-David Caro-Podium 201,Tuesday,09:00,10:00,ABPL20042,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Tuesday,10:00,11:00,ABPL20042,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-215,Tuesday,11:00,12:00,ABPL20042,False
Alice Hoy,PAR-Alice Hoy-226,Tuesday,12:00,13:00,ABPL20042,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-124,Wednesday,10:00,11:00,ABPL20042,True
Redmond Barry,PAR-Redmond Barry-1006,Wednesday,11:00,12:00,ABPL20042,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Wednesday,12:00,13:00,ABPL20042,True
Baldwin Spencer,PAR-Baldwin Spencer-109 (English Room),Wednesday,13:15,14:15,ABPL20042,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Monday,17:15,20:15,ABPL20047,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-121,Tuesday,08:00,11:00,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Tuesday,08:00,11:00,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Tuesday,12:00,15:00,ABPL20047,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-120,Tuesday,12:00,15:00,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-129,Tuesday,12:00,15:00,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-237,Tuesday,12:00,15:00,ABPL20047,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-141,Tuesday,12:00,15:00,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-227,Tuesday,12:00,15:00,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-228,Tuesday,12:00,15:00,ABPL20047,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-121,Tuesday,14:15,17:15,ABPL20047,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-139,Tuesday,14:15,17:15,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-246,Tuesday,15:15,18:15,ABPL20047,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-144,Tuesday,15:15,18:15,ABPL20047,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-121,Monday,18:15,21:15,ABPL20048,True
Baldwin Spencer,PAR-Baldwin Spencer-109 (English Room),Tuesday,09:00,12:00,ABPL20048,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-241,Tuesday,14:15,17:15,ABPL20048,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-129,Tuesday,18:15,21:15,ABPL20048,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-240,Friday,09:00,12:00,ABPL20048,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-121,Friday,10:00,13:00,ABPL20048,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-236,Friday,15:15,18:15,ABPL20048,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-129,Tuesday,17:15,18:15,ABPL30006,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-244,Monday,15:00,18:00,ABPL30042,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-314,Monday,16:15,19:15,ABPL30042,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-125,Monday,16:15,19:15,ABPL30042,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-146,Monday,16:15,19:15,ABPL30042,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-448,Friday,14:15,17:15,ABPL30042,False
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-140,Friday,16:15,19:15,ABPL30042,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-144,Monday,15:15,16:15,ABPL30046,True
Glyn Davis (MSD),PAR-Glyn Davis (MSD)-238,Monday,16:15,17:15,ABPL30046,True
Sidney Myer Asia Ctr,PAR-Sidney Myer Asia Ctr-117,Monday,17:15,18:15,ABPL30046,True
