code,name,offered
ABPL10003,Visualising Environments,"['Semester 1', 'Semester 2']"
ABPL10004,Global Foundations of Design,"['Semester 1', 'Semester 2']"
ABPL10005,Understanding the Built Environment,['Semester 1']
ABPL20004,Principles of Property Valuation,['Semester 1']
ABPL20027,Architecture Design Studio: Earth,['Semester 1']
ABPL20030,Foundations of Architecture,['Semester 1']
ABPL20033,Construction Analysis,"['Semester 1', 'Semester 2']"
ABPL20034,Urban History,['Semester 1']
ABPL20035,Cities: From Local to Global,['Semester 1']
ABPL20036,Environmental Building Systems,"['Semester 1', 'Semester 2']"
ABPL20037,Urban Design Studies,['Semester 1']
ABPL20042,Construction of Residential Buildings,['Semester 1']
ABPL20047,Site Tectonics,['Semester 1']
ABPL20048,Visual Communications,['Semester 1']
ABPL30006,Property Resource Analysis,['Semester 1']
ABPL30037,Architecture Design Studio: Fire,"['Semester 1', 'Semester 2']"
ABPL30041,Construction Design,"['Semester 1', 'Semester 2']"
ABPL30042,Landscape Studio 3: Urban Open Space,['Semester 1']
ABPL30046,Steel and Concrete Structural Systems,['Semester 1']
ABPL30048,Architecture Design Studio: Air,"['Semester 1', 'Semester 2']"
ABPL30049,Case Studies in Landscape Architecture,['Semester 1']
ABPL30050,Modern Architecture: MoMo to PoMo,['Semester 1']
ABPL30051,Morphological Mapping,['Semester 1']
ABPL30053,Formative Ideas in Architecture,['Semester 1']
ABPL30055,Construction Management,['Semester 1']
ABPL30058,Architecture Design Studio: Sparks,"['Semester 1', 'Semester 2']"
ABPL30059,Property Case Studies,['Semester 1']
ABPL30067,Design Workshop,['Semester 1']
ABPL30068,Design Internship,"['Semester 1', 'Semester 2']"
ABPL30069,Installations and Happenings,['Semester 1']
ABPL90010,Advanced Construction Technology,['Semester 1']
ABPL90016,Asset Management,['Semester 1']
ABPL90017,Urban Design Theory,['Semester 1']
ABPL90020,Measured Drawings & Digital Heritage,['Semester 1']
ABPL90026,Property Development,['Semester 1']
ABPL90028,Project Management,['Semester 1']
ABPL90032,Building Services and Operations,"['Semester 1', 'Semester 2']"
ABPL90034,Property Securitisation,['Semester 1']
ABPL90035,Risk in Construction,['Semester 1']
ABPL90041,Property Law (PG),['Semester 1']
ABPL90056,Urban Transport Politics,['Semester 1']
ABPL90061,Urban Design Studio A,['Semester 1']
ABPL90065,Managing Global City Regions,['Semester 1']
ABPL90066,MSD Research Project Short (12.5 Points),['Semester 1']
ABPL90067,MSD Thesis -Semester Long (25 Points),"['Semester 1', 'Semester 2']"
ABPL90072,Landscape Studio 5:Sustainable Urbanism,"['Semester 1', 'Semester 2']"
ABPL90077,Introduction to Transport and Land Use,['Semester 1']
ABPL90078,Contemporary Landscape Theory,['Semester 1']
ABPL90086,Environmental Systems,['Semester 1']
ABPL90089,Australian Architecture (PG),['Semester 1']
ABPL90107,Landscape Studio 1: Design Techniques,['Semester 1']
ABPL90114,Travelling Studio (Sweden),['Semester 1']
